rank,word,total
1,the,23782115
2,be,16711569
3,and,11654439
4,of,11155504
5,a,10999596
6,in,7557934
7,to,6868227
8,have,5335769
9,to,4176664
10,it,4194790
11,i,4455521
12,that,3709830
13,for,3564803
14,you,3354252
15,he,3138899
16,with,2911620
17,on,2703486
18,do,2800961
19,say,2077536
20,this,2047852
21,they,2014769
22,at,1923946
23,but,1933747
24,we,1973643
25,his,1943525
26,from,1777279
27,that,1853584
28,not,1771490
29,n't,1744284
30,by,1608416
31,she,1608851
32,or,1488977
33,as,1400622
34,what,1283090
35,go,1251786
36,their,1170105
37,can,1106769
38,who,1103170
39,get,1080432
40,if,1011860
41,would,1000182
42,her,1054106
43,all,970329
44,my,1007382
45,make,932443
46,about,952604
47,know,974670
48,will,1200441
49,as,895158
50,up,865430
51,one,830617
52,time,832974
53,there,846483
54,year,834997
55,so,837971
56,think,838695
57,when,736305
58,which,739360
59,them,735837
60,some,728487
61,me,775446
62,people,752220
63,take,726578
64,out,738311
65,into,723324
66,just,741437
67,see,754368
68,him,731462
69,your,719699
70,come,680619
71,could,669783
72,now,657619
73,than,627735
74,like,619260
75,other,589395
76,how,588188
77,then,589713
78,its,604138
79,our,574490
80,two,552785
81,more,560978
82,these,554163
83,want,559368
84,way,511585
85,look,534884
86,first,502030
87,also,504559
88,new,472947
89,because,476691
90,day,486307
91,more,457736
92,use,455925
93,no,433546
94,man,459435
95,find,426447
96,here,447805
97,thing,438886
98,give,415914
99,many,415218
100,well,448199
101,only,408282
102,those,410262
103,tell,420804
104,one,399728
105,very,422266
106,her,431544
107,even,391962
108,back,399602
109,any,374115
110,good,386236
111,woman,382235
112,through,372049
113,us,385782
114,life,361340
115,child,360478
116,there,359766
117,work,346641
118,down,356991
119,may,345687
120,after,339185
121,should,335540
122,call,333570
123,world,328689
124,over,326862
125,school,331597
126,still,322194
127,try,319415
128,in,309472
129,as,304541
130,last,314652
131,ask,308827
132,need,304665
133,too,303970
134,feel,298414
135,three,288953
136,when,291580
137,state,440944
138,never,284212
139,become,278670
140,between,284031
141,high,277214
142,something,278966
143,really,289297
144,most,265879
145,another,260296
146,much,265384
147,family,264804
148,own,259644
149,out,262000
150,leave,260368
151,put,257101
152,old,254505
153,while,254311
154,mean,269180
155,on,257353
156,keep,252367
157,student,280591
158,why,256316
159,let,263272
160,great,244358
161,same,240374
162,big,249244
163,group,249082
164,begin,243543
165,seem,236617
166,country,242456
167,help,233703
168,talk,248986
169,where,231293
170,turn,239636
171,problem,233655
172,every,231436
173,start,233601
174,hand,242773
175,might,226672
176,american,231470
177,show,225869
178,part,225292
179,about,226187
180,against,219689
181,place,219869
182,over,225944
183,such,221361
184,again,223868
185,few,213654
186,case,216637
187,most,211650
188,week,217313
189,company,217148
190,where,211899
191,system,215748
192,each,212566
193,right,251114
194,program,212582
195,hear,212450
196,so,201305
197,question,208806
198,during,205544
199,work,203073
200,play,204041
201,government,209934
202,run,203041
203,small,200610
204,number,201813
205,off,199337
206,always,195113
207,move,193904
208,like,198134
209,night,198607
210,live,190933
211,point,194771
212,believe,192400
213,hold,191472
214,today,199257
215,bring,189593
216,happen,199650
217,next,192845
218,without,184781
219,before,187768
220,large,190008
221,all,189207
222,million,176204
223,must,182442
224,home,185420
225,under,177088
226,water,184829
227,room,185952
228,write,176548
229,mother,182856
230,area,178801
231,national,179411
232,money,178555
233,story,178828
234,young,173683
235,fact,173796
236,month,177639
237,different,176090
238,lot,185988
239,right,155604
240,study,190388
241,book,168369
